"","SentenceNumber","variable","value"
"201",36,"sadness",0
"202",37,"sadness",0.0444444444444444
"203",38,"sadness",0.0232558139534884
"204",39,"sadness",0.036697247706422
"205",40,"sadness",0
"206",41,"sadness",0.0833333333333333
"207",42,"sadness",0.0344827586206897
"208",43,"sadness",0
"209",44,"sadness",0.0289855072463768
"210",45,"sadness",0.0298507462686567
"211",46,"sadness",0
"212",47,"sadness",0
"213",48,"sadness",0.0307692307692308
"214",49,"sadness",0
"215",50,"sadness",0.0126582278481013
"216",51,"sadness",0
"217",52,"sadness",0
"218",53,"sadness",0
"219",54,"sadness",0
"220",55,"sadness",0
